iter	RMSE
0	1.094150232
1	1.087302361
2	1.080895877
3	1.075252991
4	1.069884111
5	1.064832685
6	1.060092592
7	1.056031087
8	1.051760463
9	1.048282091
10	1.045168155
11	1.04198989
12	1.039087537
13	1.036474695
14	1.033413361
15	1.031333664
16	1.029080804
17	1.026607635
18	1.02461323
19	1.023057263
20	1.021230442
21	1.019665324
22	1.018114813
23	1.016696363
24	1.015314237
25	1.014076217
26	1.012743521
27	1.011459025
28	1.010434216
29	1.009076866
30	1.007878417
31	1.006536324
32	1.005788061
33	1.004934555
34	1.004037993
35	1.003153892
36	1.002325784
37	1.001579028
38	1.000780339
39	0.9997925311
40	0.9991400052
41	0.9982378048
42	0.9975605936
43	0.9967731813
44	0.9960964852
45	0.9956329764
46	0.9951201239
47	0.9944274971
48	0.9939811895
49	0.993315648
50	0.992703956
51	0.9920830352
52	0.9913697581
53	0.9909087081
54	0.9904561292
55	0.9897833807
56	0.9893692248
57	0.9888469255
58	0.9885153644
59	0.9878866529
60	0.9873098224
61	0.9867955316
62	0.9864073749
63	0.9858600349
64	0.9855965262
65	0.9851780118
66	0.9846060066
67	0.9841720976
68	0.9836295583
69	0.983165708
70	0.9827826542
71	0.9822641827
72	0.9819399328
73	0.9814790055
74	0.9812329857
75	0.9808317964
76	0.9806111297
77	0.9802147081
78	0.9797583133
79	0.9793464716
80	0.9790990741
81	0.9786745959
82	0.9784755814
83	0.9782078389
84	0.9777645164
85	0.9773724333
86	0.9768999255
87	0.9764105304
88	0.9761603229
89	0.9758035201
90	0.9754857106
91	0.9752068649
92	0.9750683015
93	0.974782236
94	0.9745428996
95	0.9743378476
96	0.9740847717
97	0.9736788274
98	0.9733150142
99	0.9729091088
100	0.9726252839
101	0.9722809623
102	0.9720276475
103	0.971694843
104	0.9715301679
105	0.971280402
106	0.9709717587
107	0.9707213789
108	0.9703081713
109	0.969838502
110	0.9693659075
111	0.969012913
112	0.9687050261
113	0.9682164837
114	0.9678248262
115	0.9675348082
116	0.9673223811
117	0.9669025882
118	0.9666687985
119	0.9664057734
120	0.966213188
121	0.9659931194
122	0.9656679907
123	0.9654564928
124	0.9651755749
125	0.9650149307
126	0.9648762818
127	0.9644732633
128	0.9642915131
129	0.9639099696
130	0.9635304345
131	0.9631453097
132	0.9628407579
133	0.9626160644
134	0.9624529296
135	0.9621947945
136	0.9618823685
137	0.961586468
138	0.9611426988
139	0.9609253598
140	0.9606800479
141	0.9605278834
142	0.9603231523
143	0.9599747146
144	0.9597069551
145	0.9595996714
146	0.9592228215
147	0.9589210257
148	0.9587053859
149	0.9585399993
150	0.9583985318
151	0.9582410044
152	0.9580729385
153	0.9579404907
154	0.9577079215
