iter	Passed	Remaining
0	5	5523
1	10	5055
2	14	4865
3	18	4686
4	22	4477
5	26	4323
6	29	4134
7	32	3990
8	35	3865
9	38	3824
10	41	3741
11	44	3697
12	47	3624
13	51	3594
14	53	3545
15	57	3527
16	60	3486
17	62	3436
18	66	3409
19	69	3387
20	72	3374
21	75	3350
22	78	3342
23	81	3334
24	85	3329
25	88	3306
26	91	3291
27	94	3273
28	97	3256
29	100	3248
30	103	3229
31	106	3221
32	109	3204
33	112	3192
34	115	3171
35	117	3156
36	120	3138
37	123	3118
38	126	3113
39	129	3103
40	132	3095
41	135	3079
42	137	3065
43	140	3052
44	143	3037
45	145	3027
46	148	3014
47	151	3010
48	154	3003
49	157	2995
50	161	2996
51	164	2994
52	167	2992
53	170	2991
54	173	2987
55	176	2982
56	179	2977
57	182	2965
58	185	2951
59	187	2941
60	190	2931
61	193	2920
62	195	2906
63	198	2899
64	201	2892
65	203	2884
66	206	2878
67	209	2868
68	212	2865
69	215	2856
70	218	2859
71	221	2857
72	224	2850
73	227	2842
74	229	2834
75	232	2829
76	235	2819
77	238	2813
78	240	2807
79	243	2803
80	246	2797
81	249	2787
82	251	2781
83	254	2772
84	257	2768
85	260	2763
86	262	2758
87	265	2753
88	268	2749
89	271	2746
90	274	2739
91	277	2733
92	279	2728
93	282	2720
94	285	2715
95	287	2708
96	290	2703
97	293	2698
98	295	2691
99	298	2689
100	301	2684
101	304	2684
102	308	2682
103	311	2680
104	313	2674
105	316	2667
106	319	2663
107	321	2657
108	324	2655
109	327	2649
110	330	2643
111	333	2643
112	336	2638
113	339	2636
114	341	2631
115	344	2627
116	347	2621
117	350	2617
118	352	2613
119	355	2608
120	358	2605
121	361	2600
122	364	2599
123	367	2595
124	370	2591
125	373	2587
126	375	2582
127	378	2578
128	381	2574
129	384	2572
130	387	2568
131	389	2564
132	392	2560
133	395	2556
134	398	2551
135	400	2547
136	403	2543
137	406	2540
138	409	2538
139	412	2535
140	415	2532
141	418	2529
142	421	2525
143	424	2523
144	427	2519
145	429	2514
146	432	2510
147	435	2505
148	438	2501
149	440	2496
150	443	2491
151	446	2489
152	448	2484
153	451	2479
154	454	2477
155	457	2473
156	459	2468
157	462	2464
158	465	2461
159	467	2456
160	470	2453
161	473	2449
162	476	2445
163	478	2440
164	481	2437
165	485	2437
166	487	2433
167	490	2429
168	493	2425
169	495	2420
170	498	2417
171	501	2415
172	504	2413
173	507	2408
174	509	2404
175	512	2400
176	515	2397
177	518	2393
178	520	2389
179	523	2383
180	526	2380
181	528	2376
182	531	2373
183	534	2370
184	537	2366
185	539	2362
186	542	2357
187	545	2354
188	547	2350
189	550	2347
190	553	2343
191	555	2339
192	558	2337
193	561	2334
194	564	2331
195	567	2327
196	570	2323
197	572	2320
198	575	2316
199	578	2314
200	581	2310
201	583	2305
202	586	2302
203	589	2298
204	591	2295
205	594	2291
206	597	2288
207	600	2285
208	603	2282
209	606	2280
210	608	2277
211	612	2275
212	614	2271
213	617	2269
214	620	2266
215	623	2263
216	626	2260
217	628	2255
218	631	2253
219	634	2249
220	637	2245
221	639	2242
222	642	2238
223	644	2234
224	647	2231
225	650	2227
226	652	2223
227	655	2220
228	658	2217
229	661	2214
230	664	2210
231	666	2207
232	669	2203
233	671	2199
234	674	2197
235	677	2193
236	680	2189
237	682	2186
238	685	2182
239	688	2180
240	691	2177
241	694	2174
242	697	2172
243	699	2168
244	702	2164
245	705	2161
246	707	2158
247	710	2155
248	713	2151
249	716	2148
250	718	2145
251	721	2142
252	725	2140
253	727	2137
254	730	2134
255	733	2131
256	736	2128
257	739	2126
258	742	2123
259	745	2120
260	747	2117
261	751	2115
262	754	2113
263	757	2110
264	759	2107
265	762	2103
266	765	2101
267	767	2097
268	770	2094
269	773	2092
270	776	2088
271	779	2085
272	781	2081
273	784	2078
274	786	2074
275	789	2071
276	792	2068
277	795	2064
278	798	2062
279	800	2059
280	803	2057
281	807	2055
282	809	2051
283	812	2048
284	814	2044
285	817	2041
286	820	2037
287	823	2034
288	825	2031
289	828	2027
290	830	2024
291	833	2020
292	836	2017
293	839	2014
294	841	2011
295	844	2008
296	847	2005
297	850	2002
298	853	1999
299	855	1996
300	858	1993
301	860	1989
302	863	1986
303	866	1983
304	869	1980
305	873	1981
306	877	1981
307	881	1981
308	884	1978
309	887	1975
310	890	1972
311	893	1969
312	895	1965
313	898	1962
314	901	1959
315	904	1956
316	907	1954
317	909	1951
318	912	1948
319	915	1945
320	918	1942
321	921	1939
322	923	1936
323	926	1933
324	928	1929
325	931	1926
326	934	1923
327	937	1920
328	939	1916
329	942	1913
330	945	1911
331	948	1908
332	951	1904
333	953	1901
334	956	1899
335	959	1896
336	962	1892
337	965	1890
338	967	1886
339	969	1882
340	972	1879
341	975	1876
342	978	1873
343	980	1870
344	983	1867
345	986	1864
346	988	1860
347	991	1858
348	994	1854
349	997	1851
350	999	1848
351	1002	1845
352	1005	1842
353	1007	1839
354	1010	1836
355	1013	1833
356	1016	1830
357	1019	1828
358	1021	1824
359	1024	1821
360	1027	1818
361	1030	1815
362	1033	1813
363	1035	1809
364	1038	1807
365	1041	1803
366	1044	1801
367	1047	1798
368	1050	1795
369	1053	1793
370	1055	1790
371	1058	1787
372	1061	1784
373	1064	1782
374	1067	1779
375	1070	1777
376	1073	1774
377	1076	1771
378	1079	1768
379	1082	1766
380	1086	1764
381	1089	1762
382	1092	1760
383	1095	1758
384	1098	1755
385	1101	1752
386	1104	1750
387	1107	1747
388	1111	1745
389	1115	1744
390	1121	1746
391	1127	1748
392	1133	1750
393	1137	1749
394	1140	1747
395	1144	1746
396	1148	1743
397	1151	1741
398	1154	1738
399	1157	1736
400	1160	1732
401	1163	1730
402	1165	1727
403	1168	1724
404	1172	1721
405	1175	1719
406	1178	1717
407	1181	1714
408	1185	1712
409	1188	1710
410	1191	1706
411	1193	1703
412	1197	1701
413	1200	1698
414	1203	1696
415	1206	1694
416	1209	1691
417	1213	1689
418	1215	1686
419	1218	1683
420	1221	1680
421	1224	1677
422	1228	1675
423	1231	1673
424	1234	1670
425	1237	1667
426	1240	1664
427	1243	1662
428	1246	1659
429	1249	1656
430	1252	1654
431	1255	1651
432	1259	1648
433	1262	1645
434	1264	1642
435	1267	1639
436	1270	1636
437	1273	1634
438	1276	1631
439	1279	1628
440	1282	1625
441	1285	1622
442	1288	1619
443	1291	1617
444	1294	1614
445	1297	1611
446	1299	1608
447	1302	1605
448	1305	1602
449	1308	1599
450	1311	1596
451	1314	1593
452	1317	1590
453	1320	1588
454	1323	1585
455	1326	1582
456	1329	1579
457	1332	1576
458	1334	1573
459	1337	1570
460	1340	1567
461	1343	1564
462	1346	1562
463	1349	1558
464	1352	1555
465	1354	1552
466	1357	1549
467	1360	1546
468	1363	1544
469	1366	1541
470	1369	1538
471	1372	1535
472	1375	1532
473	1379	1530
474	1381	1527
475	1385	1524
476	1387	1521
477	1391	1519
478	1393	1516
479	1396	1512
480	1399	1510
481	1402	1507
482	1405	1504
483	1408	1501
484	1412	1499
485	1414	1496
486	1417	1493
487	1420	1490
488	1423	1487
489	1426	1484
490	1429	1482
491	1432	1479
492	1435	1476
493	1439	1474
494	1442	1471
495	1445	1468
496	1447	1465
497	1451	1463
498	1454	1460
499	1458	1458
500	1462	1456
501	1466	1455
502	1470	1453
503	1474	1451
504	1479	1450
505	1483	1448
506	1487	1446
507	1491	1444
508	1495	1443
509	1499	1441
510	1503	1438
511	1506	1435
512	1509	1433
513	1513	1431
514	1517	1428
515	1520	1426
516	1525	1425
517	1529	1423
518	1533	1420
519	1536	1418
520	1539	1415
521	1543	1413
522	1546	1410
523	1549	1407
524	1554	1406
525	1559	1405
526	1563	1403
527	1567	1401
528	1571	1399
529	1575	1397
530	1578	1394
531	1581	1391
532	1585	1388
533	1588	1386
534	1591	1383
535	1594	1380
536	1597	1377
537	1600	1374
538	1603	1371
539	1608	1370
540	1612	1368
541	1618	1367
542	1622	1365
543	1627	1363
544	1630	1361
545	1633	1358
546	1637	1355
547	1640	1352
548	1643	1350
549	1646	1347
550	1649	1344
551	1652	1341
552	1656	1338
553	1659	1336
554	1663	1333
555	1666	1330
556	1670	1328
557	1673	1325
558	1676	1322
559	1679	1319
560	1682	1316
561	1685	1313
562	1688	1310
563	1692	1308
564	1695	1305
565	1698	1302
566	1701	1299
567	1704	1296
568	1707	1293
569	1710	1290
570	1713	1287
571	1717	1285
572	1720	1282
573	1723	1279
574	1726	1276
575	1730	1273
576	1732	1270
577	1735	1267
578	1739	1264
579	1742	1261
580	1745	1258
581	1748	1255
582	1751	1252
583	1754	1249
584	1757	1246
585	1760	1243
586	1764	1241
587	1767	1238
588	1772	1236
589	1776	1234
590	1779	1231
591	1782	1228
592	1785	1225
593	1788	1222
594	1791	1219
595	1794	1216
596	1797	1213
597	1800	1210
598	1803	1207
599	1806	1204
600	1810	1202
601	1813	1198
602	1816	1196
603	1819	1192
604	1822	1190
605	1825	1187
606	1828	1184
607	1831	1181
608	1834	1177
609	1837	1174
610	1840	1171
611	1843	1168
612	1846	1165
613	1849	1162
614	1852	1159
615	1855	1156
616	1858	1153
617	1861	1150
618	1864	1147
619	1868	1145
620	1871	1142
621	1875	1139
622	1878	1136
623	1882	1134
624	1885	1131
625	1888	1128
626	1892	1125
627	1895	1122
628	1897	1119
629	1900	1116
630	1903	1113
631	1906	1109
632	1909	1106
633	1912	1103
634	1915	1100
635	1917	1097
636	1920	1094
637	1924	1091
638	1926	1088
639	1929	1085
640	1932	1082
641	1935	1079
642	1938	1076
643	1941	1073
644	1944	1070
645	1946	1066
646	1949	1063
647	1952	1060
648	1955	1057
649	1958	1054
650	1961	1051
651	1964	1048
652	1967	1045
653	1970	1042
654	1972	1039
655	1975	1036
656	1978	1033
657	1982	1030
658	1984	1027
659	1987	1024
660	1990	1020
661	1993	1017
662	1996	1014
663	1999	1011
664	2002	1008
665	2005	1005
666	2008	1002
667	2010	999
668	2013	996
669	2016	993
670	2019	990
671	2022	987
672	2025	984
673	2028	981
674	2031	977
675	2033	974
676	2036	971
677	2039	968
678	2042	965
679	2045	962
680	2048	959
681	2051	956
682	2054	953
683	2057	950
684	2059	947
685	2063	944
686	2065	941
687	2068	938
688	2071	934
689	2074	931
690	2076	928
691	2079	925
692	2082	922
693	2085	919
694	2088	916
695	2091	913
696	2094	910
697	2097	907
698	2099	904
699	2102	901
700	2105	897
701	2108	894
702	2110	891
703	2113	888
704	2116	885
705	2119	882
706	2122	879
707	2125	876
708	2128	873
709	2130	870
710	2133	867
711	2136	864
712	2139	861
713	2142	858
714	2145	855
715	2148	852
716	2150	848
717	2153	845
718	2156	842
719	2159	839
720	2162	836
721	2164	833
722	2167	830
723	2170	827
724	2173	824
725	2176	821
726	2178	818
727	2182	815
728	2184	812
729	2187	809
730	2190	806
731	2193	803
732	2196	800
733	2212	801
734	2215	798
735	2217	795
736	2220	792
737	2223	789
738	2225	786
739	2228	783
740	2231	780
741	2234	776
742	2237	773
743	2239	770
744	2242	767
745	2245	764
746	2248	761
747	2251	758
748	2254	755
749	2257	752
750	2260	749
751	2263	746
752	2266	743
753	2269	740
754	2272	737
755	2275	734
756	2277	731
757	2280	728
758	2283	725
759	2286	722
760	2289	719
761	2292	716
762	2295	713
763	2298	710
764	2301	707
765	2304	704
766	2307	701
767	2310	697
768	2313	694
769	2315	691
770	2318	688
771	2321	685
772	2324	682
773	2327	679
774	2330	676
775	2333	673
776	2336	670
777	2339	667
778	2342	664
779	2345	661
780	2348	658
781	2351	655
782	2353	652
783	2356	649
784	2359	646
785	2362	643
786	2365	640
787	2367	637
788	2370	633
789	2373	630
790	2376	627
791	2379	624
792	2382	621
793	2385	618
794	2388	615
795	2391	612
796	2394	609
797	2397	606
798	2400	603
799	2403	600
800	2406	597
801	2409	594
802	2412	591
803	2415	588
804	2417	585
805	2420	582
806	2424	579
807	2426	576
808	2429	573
809	2432	570
810	2435	567
811	2438	564
812	2441	561
813	2444	558
814	2447	555
815	2450	552
816	2452	549
817	2455	546
818	2458	543
819	2461	540
820	2464	537
821	2466	534
822	2469	531
823	2472	528
824	2475	525
825	2478	522
826	2481	519
827	2484	516
828	2486	512
829	2489	509
830	2492	506
831	2495	503
832	2498	500
833	2501	497
834	2504	494
835	2506	491
836	2509	488
837	2512	485
838	2515	482
839	2518	479
840	2521	476
841	2523	473
842	2526	470
843	2529	467
844	2532	464
845	2534	461
846	2537	458
847	2540	455
848	2543	452
849	2545	449
850	2548	446
851	2551	443
852	2554	440
853	2557	437
854	2559	434
855	2562	431
856	2565	428
857	2567	425
858	2570	421
859	2573	418
860	2576	415
861	2579	412
862	2582	409
863	2585	406
864	2588	403
865	2591	400
866	2593	397
867	2596	394
868	2598	391
869	2601	388
870	2604	385
871	2607	382
872	2610	379
873	2612	376
874	2615	373
875	2618	370
876	2621	367
877	2623	364
878	2626	361
879	2629	358
880	2632	355
881	2634	352
882	2637	349
883	2639	346
884	2642	343
885	2645	340
886	2648	337
887	2651	334
888	2653	331
889	2656	328
890	2659	325
891	2662	322
892	2665	319
893	2668	316
894	2670	313
895	2673	310
896	2676	307
897	2679	304
898	2682	301
899	2685	298
900	2687	295
901	2690	292
902	2693	289
903	2696	286
904	2698	283
905	2701	280
906	2704	277
907	2708	274
908	2710	271
909	2713	268
910	2716	265
911	2719	262
